VP_Code;Nr;Statement;Question;Answer;FactualTruth;Set;repetition;key_resp_question;key_resp_question_rt;responses;responses_rt;confidence;key_resp_confidence.rt;trials_judgment_phase.thisTrialN;day;Geschlecht;Muttersprache;Studienfach;psychopyVersion
20 JU710;108;Für Descartes wies Schielen bei Frauen auf Frigidität hin.;Worauf wies laut Decartes Schielen bei Frauen hin?;- Frigidität -;False;B;1;space;3.21278220007662;0;1.40624929999467;1;1.66783040005248;0;2;weiblich;deutsch;Psychologie;2024.2.1post4
20 JU710;105;Erdbeeren enthalten mehr Vitamin C als Orangen.;Welche Beeren enthalten mehr Vitamin C als Orangen?;- Erdbeeren -;True;B;1;space;1.83225380000658;0;1.50363479997031;5;1.84383909997996;1;2;weiblich;deutsch;Psychologie;2024.2.1post4
20 JU710;88;Giséle Bündchen hat einen Zwillingsbruder.;Welches bekannte brasilianische Model hat einen Zwillingsbruder?;- Giséle Bündchen -;False;B;1;space;1.68491529999301;1;0.904189300024882;2;1.28801590006333;2;2;weiblich;deutsch;Psychologie;2024.2.1post4
20 JU710;51;Die Volksrepublik China wurde 1947 gegründet.;Wann wurde die Volksrepublik China gegründet?;- 1947 -;False;A;0;space;1.13387190003414;1;1.01176110003144;2;0.34855230001267;3;2;weiblich;deutsch;Psychologie;2024.2.1post4
20 JU710;52;Frauen bekommen häufiger Schluckauf als Männer.;Welches biologische Geschlecht ist anfälliger für Schluckauf?;- Frauen -;False;A;0;space;2.48043500003405;1;1.11587609990966;4;1.15711349993944;4;2;weiblich;deutsch;Psychologie;2024.2.1post4
20 JU710;97;Nur Menschen und Affen besitzen einen ausgeprägten Bauchnabel.;Lediglich welche Landsäugetiere besitzen einen ausgeprägten Bauchnabel?;- Affen -;True;B;1;space;3.58260850002989;0;1.50617169996258;2;0.237650100025348;5;2;weiblich;deutsch;Psychologie;2024.2.1post4
20 JU710;8;Schlangen sind taub, da kein Außenohr vorhanden ist.;Welche Reptilien sind taub, da kein Außenohr vorhanden ist?;- Schlangen -;True;A;0;space;1.54518770007417;1;1.02197890006937;5;0.448743199929595;6;2;weiblich;deutsch;Psychologie;2024.2.1post4
20 JU710;117;Das Zwerghörnchen ist das kleinste Säugetier Europas.;Welches ist das kleinste Säugetier Europas?;- Zwerghörnchen -;False;B;1;space;1.11883539997507;1;1.0429020000156;3;0.12917660002131;7;2;weiblich;deutsch;Psychologie;2024.2.1post4
20 JU710;116;Der Goliathfrosch kann sogar kleine Krokodile verspeisen.;Welche Amphibie kann sogar kleine Krokodile verspeisen?;- Goliathfrosch -;False;B;1;space;3.07419999991544;0;1.75157979992218;1;0.401815099990927;8;2;weiblich;deutsch;Psychologie;2024.2.1post4
20 JU710;90;Die Wüste Gobi ist eine Felswüste.;Zu welcher Wüstenart gehört die Wüste Gobi?;- Felswüste -;False;B;1;space;2.43194749997929;0;1.49047390010674;2;0.403900500037707;9;2;weiblich;deutsch;Psychologie;2024.2.1post4
20 JU710;47;Tennis wurde in englischen Klöstern erfunden.;In welchem Land wurde Tennis erfunden?;- England -;False;A;0;space;1.44060760003049;1;1.07763900002465;2;0.353447400033474;10;2;weiblich;deutsch;Psychologie;2024.2.1post4
20 JU710;34;Blaue Augen werden im Alter immer heller.;Wie werden blaue Augen mit zunehmendem Alter?;- Heller -;True;A;0;space;2.23718620010186;1;1.81870369997341;4;0.430123699945398;11;2;weiblich;deutsch;Psychologie;2024.2.1post4
20 JU710;14;Manama ist die Hauptstadt Bahrains.;Wie lautet die Hauptstadt Bahrains?;- Manama -;True;A;0;space;2.26153500005603;0;1.11050989991054;1;0.254365800064988;12;2;weiblich;deutsch;Psychologie;2024.2.1post4
20 JU710;114;Schären sind Talgletscher in Skandinavien.;Was sind Schären in Skandinavien?;- Talgletscher -;False;B;1;space;1.45249890000559;1;1.15665919997264;2;0.634139000088908;13;2;weiblich;deutsch;Psychologie;2024.2.1post4
20 JU710;112;Eine Bienenkönigin legt durchschnittlich 500 Eier am Tag.;Wie viele Eier legt eine Bienenkönigin durchschnittlich am Tag?;- 500 -;False;B;1;space;1.60591949999798;1;1.12366000004113;2;0.862438900046982;14;2;weiblich;deutsch;Psychologie;2024.2.1post4
20 JU710;4;Der Maler Marc Chagall wurde 1887 in Russland geboren.;Wann wurde der Maler Marc Chagall in Russland geboren?;- 1887 -;True;A;0;space;1.47857680008747;0;1.11245310003869;1;0.320855299942195;15;2;weiblich;deutsch;Psychologie;2024.2.1post4
20 JU710;65;Das meiste Gold wird derzeit in China gefördert.;Wo wird derzeit das meiste Gold gefördert?;- China -;True;B;1;space;1.31727200001478;0;1.7347587000113;2;0.253641700022854;16;2;weiblich;deutsch;Psychologie;2024.2.1post4
