id;trial;session;statement_set;statements;statement_type;factual_truth;responses;confidence;#Vp;#trial;cond;onset_trial;dur_trial
1;1;1;Set A;Delphine schwimmen höchstens 54 Kilometer pro Stunde;1;true;0;3;1;1;2;323,37;6,15
1;2;1;Set B;Der Ladogasee ist der größte See Europa;0;true;1;6;1;2;2;333,55;4,47
1;3;1;Set B;Der Erfinder des Bikinis war ursprünglich Schuhdesigner;0;false;0;2;1;3;2;341,53;5,95
1;4;1;Set B;Alexander Graham Bell erfand das Tragflügelboot;0;true;0;4;1;4;2;352,28;4,63
1;5;1;Set A;Der griechische Gott Apollon ist der Schutzherr der Küste;1;true;0;6;1;5;2;362,93;4,46
1;6;1;Set B;Eine Bienenkönigin legt durchschnittlich 500 Eier am Tag;0;false;0;3;1;6;2;370,9;4,71
1;7;1;Set A;Das Jojo war ursprünglich eine philippinische Jagdwaffe;1;true;1;2;1;7;2;380,63;8,1
1;8;1;Set A;Das Lieblingsgetränk von Benedikt XVI. ist Fanta;1;true;1;3;1;8;2;393,23;3,52
1;9;1;Set A;French Fries' wurden in England erfunden.;1;false;1;3;1;9;2;401,73;3,27
1;10;1;Set A;Bolivien ist der kleinste Binnenstaat Südamerikas;1;false;1;5;1;10;2;409,72;5,91
1;11;1;Set A;Der höchste nordamerikanische Berg liegt in Wyoming;1;false;0;6;1;11;2;420,03;4,12
1;12;1;Set A;Die Insel Ösel gehört zu Dänema;1;false;1;4;1;12;2;429,13;4,52
1;13;1;Set B;Seoul bedeutet auf koreanisch 'Die Hauptstadt'.;0;true;0;5;1;13;2;438,27;7,97
1;14;1;Set A;Die Angst vor dem Küssen nennt man Philemaphobie;1;true;1;3;1;14;2;451,06;4,81
1;15;1;Set B;Der Goliathfrosch kann sogar kleine Krokodile verspeisen.;0;false;0;3;1;15;2;459,85;5,85
1;16;1;Set A;Manama ist die Hauptstadt Bahrains.;1;true;1;6;1;16;2;472,44;3,88
1;17;1;Set A;Der Basenji ist der einzige Hund, der nicht bellt.;1;true;1;3;1;17;2;479,69;3,66
1;18;1;Set B;Für Descartes wies Schielen bei Frauen auf Frigidität hi;0;false;0;2;1;18;2;488,76;6,94
1;19;1;Set B;Erdbeeren enthalten mehr Vitamin C als Orangen.;0;true;0;4;1;19;2;499,42;5,52
1;20;1;Set B;Magnesiummangel kann zu Hautproblemen führen;0;false;1;4;1;20;2;509,42;3,92
1;21;1;Set B;Das Finn-Dingi ist ein Einmannboot beim Sportsegeln.;0;true;1;2;1;21;2;518,22;4,97
1;22;1;Set A;Die Norfolkinseln im Pazifik gehören zu Neuseeland;1;false;1;3;1;22;2;527,23;6,02
1;23;1;Set B;Der Allradantrieb wurde 1938 in England erfunden.;0;false;0;3;1;23;2;538,12;8,06
1;24;1;Set A;Die Schwarzerle zählt zu den Buchengewächse;1;false;1;3;1;24;2;550,26;6,88
1;25;1;Set A;Der nicht sichtbare Teil des Eisbergs heißt Eisbergkiel;1;true;0;5;1;25;2;560,48;5,85
1;26;1;Set B;In Uganda ist die Amtssprache englisch.;0;true;1;5;1;26;2;570,27;4,83
1;27;1;Set A;Der Mond passt vierzigmal in die Erdkugel.;1;false;1;4;1;27;2;581,3;4,33
1;28;1;Set B;Das Zwerghörnchen ist das kleinste Säugetier Europa;0;false;0;2;1;28;2;590,58;6,86
1;29;1;Set A;Die Azoren gehören zu Spanien;1;false;0;6;1;29;2;601,27;3,85
1;30;1;Set B;Einen kastrierten Esel nennt man auch Macker oder Knilch.;0;true;0;2;1;30;2;608,44;8,36
